단어,뜻
abuse,남용
accident,사고
habit,습관
activity,활동
add,추가하다
adjust,조정하다
administration,관리
advocate,지지하다
analyst,분석자
arrival,도착
highlight,가장 밝은 부분
button,단추
appearance,모습
application,애플리케이션
apply,적용하다
as,~처럼
argument,논쟁
arrange,마련하다
arrangement,준비
hunt,사냥
art,미술
characterize,특징짓다
assessment,평가
asset,유산
back,뒤쪽에
associate,연관짓다
atmosphere,대기
attitude,태도
illustrate,설명하다
audience,청중
author,작가
impose,부과하다
band,밴드
bar,술집
basically,원래
bedroom,침실
belief,믿음
bind,묶다
birth,출생
bomb,폭탄
bond,노예
border,국경
competitor,경쟁자
incident,사건
intelligence,지능
branch,나뭇가지
brand,상표
build,짓다
business,사업
bridge,다리
coverage,적용 범위
crew,승무원
kick,차기
kiss,키스
dependent,매달린
campaign,운동
latter,후자
lock,잠그다
cent,센트
certainly,틀림없이
chain,체인
channel,채널
characteristic,특성
milk,우유
color,색상
origin,기원
church,교회
drag,견인
civil,예의 바른
proportion,비율
reject,거부하다
clothes,옷
course,강의
colleague,동료
formula,공식
combination,콤비네이션
foundation,기반
lip,말뿐인
comment,논평
commission,수수료
commitment,약속
relief,안도
complain,불평하다
component,요소
concentrate,집중하다
condition,상태
margin,여유
content,콘텐츠
contract,계약
contribute,기여하다
pace,속도
corner,모서리
reputation,평판
shoulder,어깨
perception,지각
similarly,비슷하게
crime,범죄
supporter,서포터
symbol,상징
cultural,문화적인
sky,하늘
cream,크림
evolution,진화
example,예
decrease,감소하다
exhaust,배기가스
soul,영혼
delay,지연
specifically,구체적으로
demonstrate,입증하다
extract,발췌
talent,재능
desire,욕구
destroy,파괴하다
direction,방향
distinction,구별
division,분할
doctor,의사
domestic,국내의
iron,철
economy,경제
editor,편집자
elect,선택된
knee,무릎
stem,줄기
engineer,엔지니어
entirely,전적으로
wage,값
wheel,바퀴
escape,탈출하다
winner,우승자
estimate,추정
appointment,약속
here,여기
examine,조사하다
breakfast,아침
excite,일으키다
however,하지만
breast,가슴
capture,포착
celebrate,축하하다
expense,비용
explore,탐구하다
extend,연장하다
childhood,어린 시절
fairly,꽤
farmer,농장주
fear,두려움
feed,밥을 먹이다
closely,면밀히
file,파일
angle,각도
flower,꽃
attribute,기인하다
command,명령
consistent,일관된
core,핵심
frame,액자
bowl,그릇
crop,수확고
gain,얻다
debt,빚
generally,일반적으로
last,마지막
exhibition,전시회
graduate,졸업하다
leave,떠나다
liability,책임
gun,총
life,삶
hall,홀
hang,걸다
line,선
cake,케이크
hire,고용하다
historical,역사적인
host,주인
hotel,호텔
fellow,사람
many,많은
currency,통화
hurt,아프다
ice,얼음
gene,유전자
identity,신원
curve,곡선
image,영상
imagine,상상하다
modify,수정하다
month,월
income,소득
indicate,나타내다
industrial,산업
guard,경비원
insist,주장하다
instrument,기구
depression,우울증
off,끄다
investor,투자자
on,~에
entrance,입구
order,주문하다
accommodation,숙소
flood,홍수
assistant,어시스턴트
party,파티
label,상표
lady,숙녀
boss,사장
past,과거
forecast,예측
jacket,재킷
lawyer,변호사
plan,계획
lesson,수업
bottle,병
license,특허
chemical,화학적인
delight,기쁨
engine,엔진
loan,대출
locate,위치하고 있다
expectation,기대
gentleman,신사
journalist,기자
lake,호수
room,방
mass,대량의
master,주인
meal,식사
landscape,풍경
set,세트
miss,놓치다
mistake,실수
model,모델
mirror,거울
mouse,생쥐
moral,도의적인
morning,아침
participant,참가자
passenger,승객
narrow,좁은
negative,부정적인
neither,어느 것도 아니다
net,그물
nevertheless,그럼에도 불구하고
musician,음악가
noise,소음
none,없음
opponent,상대
occasion,기회
odd,이상한
plate,그릇
snap,스냅
onto,위로
plot,구성
oppose,대들다
producer,생산자
organize,정리하다
phenomenon,현상
original,원래의
stay,머무르다
package,패키지
pair,쌍
shadow,그림자
subject,주제
singer,가수
such,그런
statistic,통계량
substance,물질
summary,요약
permit,허용하다
protein,단백질
teenager,십대
photograph,사진
throat,목
tourism,관광 여행
plenty,풍부한
tower,탑
transition,이행
population,인구
trap,덫
practical,현실적인
presence,있음
president,대통령
principal,주요한
principle,원칙
print,인쇄
prison,감옥
turn,회전하다
professional,전문적인
property,재산
vegetable,채소
row,열
provision,공급
sheet,시트
race,경주
rank,계급
ready,준비가 된
recommendation,추천
water,물
reflect,반영하다
region,지역
shirt,셔츠
relation,관계
relax,안심하다
release,풀어 주다
relevant,관련 있는
which,어느
rely,의존하다
voter,유권자
represent,대표하다
witness,증인
would,~일 것이다
ring,반지
write,쓰다
joint,관절
reserve,예약하다
pupil,학생
sample,견본
scientist,과학자
seat,좌석
secret,비밀
secretary,비서
security,보안
seriously,진지하게
session,세션
pitch,정점
second,두번째
hour,시간
fault,잘못
shoe,구두
shot,발사
god,하나님
sight,시력
sign,징후
signal,신호
muscle,근
enterprise,기업
site,대지
skin,피부
company,회사
slowly,느리게
smile,웃다
symptom,징후
revolution,혁명
amendment,개정
carbon,탄소
square,정사각형
cousin,사촌
insight,통찰력
orange,주황색
tournament,토너먼트
bin,큰 상자
stock,재고
strongly,강하게
structure,구조
studio,사진관
style,스타일
emotion,감정
mother,어머니
succeed,성공하다
slice,일부분
disk,디스크
resolution,해결
suspect,의심하다
switch,스위치
negotiation,협상
welfare,복지
taste,맛
tear,눈물
technology,기술
family,가족
television,텔레비전
temperature,온도
theory,이론
species,종
dozen,다스
tie,묶다
phrase,구절
tool,도구
touch,만지다
gesture,몸짓
city,도시
tradition,전통
bell,벨
disorder,무질서
troop,군대
TRUE,진실
chicken,닭
union,노동 조합
user,사용자
variety,다양성
convention,협약
victim,피해자
violence,폭행
lot,많은
truck,트럭
wake,깨어 있다
mail,우편
wear,입다
weather,날씨
wed,결혼하다
west,서쪽
agenda,의제
gaze,시선
far,멀리
counter,계수기
passage,통로
wood,목재
heavily,무겁게
much,많이
writer,작가
aircraft,항공기
motor,모터
ability,능력
cloud,구름
leather,가죽
inch,인치
above,~위에
abortion,유산
motion,운동
web,편물
absolutely,전적으로
minority,소수
mechanism,기구
accept,수용하다
edition,판
access,입장
trail,자취
circle,원
accord,일치
account,계정
day,낮
era,연대
achieve,성취하다
chairman,의장
manufacturer,제조업체
acquire,습득하다
server,섬기는 사람
pilot,조종사
act,행동
action,행동
active,활동적인
actor,배우
actual,실제
lover,애인
ad,광고
refugee,난민
addition,덧셈
additional,추가의
address,주소
scholar,학자
researcher,연구원
terrorist,테러리스트
admit,인정하다
adopt,입양하다
adult,성인
advance,전진
advantage,이점
servant,하인
advertise,공시 하다
advice,조언
critic,비평가
rival,경쟁자
affair,일
affect,영향을 미치다
afford,여유가 되다
afraid,두려워하는
advertisement,광고
afternoon,오후
log,통나무
draft,초안
drama,드라마
agency,대행사
laboratory,실혐실
agent,대리인
pub,선술집
shelter,대피소
agree,동의하다
agreement,합의
resort,의지
ahead,앞으로
aid,지원
aim,목표
air,공기
end,끝
elderly,연세가 드신
platform,플랫폼
panel,패널
rose,장미
chamber,방
restriction,제한
storage,저장
clause,절
uniform,제복
website,웹사이트
alone,홀로
dish,접시
cooperation,협력
cat,고양이
adjustment,조정
seed,씨앗
cigarette,담배
alternative,대안
tip,팁
chip,칩
coin,동전
amaze,놀리다
gap,갭
magic,마법
amount,양
analysis,분석
mission,사명
area,영역
premise,전제
equation,방정식
faith,믿음
animal,동물
announce,발표하다
castle,성
annual,연간
bias,편견
stake,말뚝
fool,바보
emergency,비상
chocolate,초콜릿
democracy,민주주의
anybody,아무도
column,열
anyone,누구나
professor,교수
anyway,그래도
apart,따로
toy,장난감
it,그것
absence,결석
apparently,보기에
appeal,항소
appear,나타나다
port,포트
appreciate,고마워하다
approach,접근하다
appropriate,적절한
metal,금속
approve,승인하다
car,자동차
bike,자전거
plastic,플라스틱
argue,다투다
virus,바이러스
arm,팔
army,군대
child,어린이
arrest,체포
arrive,도착하다
article,기사
artist,아티스트
logic,논리
blog,블로그
victory,승리
assess,평가하다
fence,울타리
noun,명사
poem,시
association,협회
assume,추정하다
index,색인
journal,신문
cheese,치즈
initiative,계획
vision,비전
capable,유능한
attack,공격
attempt,시도
attend,참석하다
mobile,이동하는
attention,주목
attract,끌어 들이다
efficient,효율적인
over,~위에
suitable,적합한
recognition,인식
luck,운
available,사용 가능
average,평균
avoid,피하다
award,상
aware,알고 있는
report,보고서
participation,참여
survival,활착
baby,아기
background,배경
limitation,한정
opposition,반대
bag,가방
balance,균형
ball,공
expansion,확장
bank,은행
acquisition,인수
presentation,프레젠테이션
assistance,보조
basic,기초적인
basis,기초
announcement,발표
battle,전투
creation,창조
beach,해변
bear,곰
beat,이기다
beautiful,아름다운
registration,등록
development,개발
involvement,참여
bed,침대
legislation,법률 제정
infection,전염병
transportation,운송
laughter,웃음
behavior,행동
behind,뒤에
sanction,제재
entertainment,오락
belong,제자리에 있다
below,아래에
venture,투기
game,게임
work,일하다
benefit,혜택
real,진짜
woman,여성
privilege,특권
anxious,불안해하는
beyond,그 너머에
subsequently,그후
breath,호흡
beer,맥주
universe,우주
bill,청구서
world,세계
membership,멤버십
bird,새
household,가정
virtually,사실상
black,검은색
barely,간신히
though,그렇지만
expenditure,지출
block,차단하다
blood,피
output,산출
blow,불다
blue,파란색
board,판자
boat,보트
body,몸
quantity,수량
excess,과잉
story,이야기
man,남성
compromise,타협
discount,할인
layer,층
deficit,부족
rat,쥐
bottom,맨 아래
country,국가
box,상자
boy,소년
brain,뇌
slope,경사
hill,언덕
county,군
contest,경쟁
adventure,모험
brief,짧은
adviser,고문
bright,밝은
interpretation,해석
wound,상처
broad,넓은
bid,매기다
brother,형제
settlement,합의
sequence,순서
budget,예산
creature,생물
hell,지옥
burn,불타다
unlike,같지 않은
neighborhood,이웃
bus,버스
busy,바쁘다
shade,그늘
territory,지역
desert,사막
zone,존
harbor,항구
province,주
dispute,논쟁
camera,카메라
camp,캠프
approximately,약
naturally,당연히
cancer,암
even,심지어
what,무엇
league,리그
capacity,용량
capital,수도
along,~을 따라
ago,~전에
card,카드
before,~전에
career,직업
