abuse,남용하다/학대하다
accident,사고
habit,습관
activity,활동
add,더하다/추가하다
adjust,조정하다
administration,관리/행정
advocate,지지하다/옹호하다
analyst,분석가
arrival,도착
highlight,강조하다
button,버튼/단추
appearance,외모/등장
application,지원/적용
apply,지원하다/적용하다
as,~로서/~처럼
argument,주장/논쟁
arrange,마련하다/배열하다
arrangement,준비/배열
hunt,사냥하다
art,예술/미술
characterize,특징짓다
assessment,평가
asset,자산
back,뒤로/등
associate,연관시키다/동료
atmosphere,대기/분위기
attitude,태도
illustrate,설명하다/삽화를 넣다
audience,청중
author,작가/저자
impose,부과하다/강요하다
band,밴드/띠
bar,술집/막대기
basically,기본적으로
bedroom,침실
belief,믿음/신념
bind,묶다/결속시키다
birth,탄생/출생
bomb,폭탄
bond,유대/채권
border,국경/경계
competitor,경쟁자
incident,사건
intelligence,지능/정보
branch,나뭇가지/지점
brand,브랜드/상표
build,짓다/건축하다
business,사업
bridge,다리
coverage,보도/적용 범위
crew,승무원/팀
kick,차다
kiss,키스/키스하다
dependent,의존하는
campaign,캠페인/운동
latter,후자의
lock,잠그다/자물쇠
cent,센트
certainly,틀림없이/확실히
chain,사슬/체인
channel,채널/경로
characteristic,특징/특유의
milk,우유
color,색/색깔
origin,기원/출신
church,교회
drag,끌다
civil,시민의/민사의
proportion,비율/부분
reject,거절하다/거부하다
clothes,옷
course,강의/과정
colleague,동료
formula,공식
combination,조합/결합
foundation,기초/재단
lip,입술
comment,논평/언급
commission,위원회/수수료
commitment,약속/헌신
relief,안도/구호
complain,불평하다
component,구성 요소
concentrate,집중하다
condition,조건/상태
margin,여백/차이
content,내용/만족하는
contract,계약/수축하다
contribute,기여하다
pace,속도/걸음
corner,모퉁이/구석
reputation,평판/명성
shoulder,어깨
perception,지각/인식
similarly,비슷하게
crime,범죄
supporter,지지자/후원자
symbol,상징/기호
cultural,문화적인
sky,하늘
cream,크림
evolution,진화/발전
example,예/본보기
decrease,감소하다/줄다
exhaust,기진맥진하게 하다/배기가스
soul,영혼/마음
delay,지연/미루다
specifically,구체적으로
demonstrate,입증하다/시위하다
extract,추출하다/발췌
talent,재능/장기
desire,욕구/바라다
destroy,파괴하다
direction,방향/지시
distinction,구별/차이
division,분할/부서
doctor,의사
domestic,국내의/가정의
iron,철/다리미
economy,경제
editor,편집자
elect,선출하다
knee,무릎
stem,줄기/유래하다
engineer,엔지니어/기술자
entirely,전적으로/완전히
wage,임금/급여
wheel,바퀴/핸들
escape,탈출하다/피하다
winner,우승자/승리자
estimate,추정하다/견적
appointment,약속/임명
here,여기에
examine,조사하다/검토하다
breakfast,아침 식사
excite,흥분시키다
however,하지만/그러나
breast,가슴/유방
capture,포착하다/사로잡다
celebrate,축하하다/기념하다
expense,비용/지출
explore,탐험하다/탐구하다
extend,연장하다/확장하다
childhood,어린 시절
fairly,꽤/공정하게
farmer,농부
fear,두려움/공포
feed,먹이를 주다
closely,면밀히/가까이
file,파일/서류
angle,각도/관점
flower,꽃
attribute,~의 탓으로 돌리다/속성
command,명령/명령하다
consistent,일관된
core,핵심
frame,틀/액자
bowl,그릇
crop,작물/수확
gain,얻다/이익
debt,빚/부채
generally,일반적으로
last,마지막의/지속되다
exhibition,전시회
graduate,졸업하다/졸업생
leave,떠나다/남기다
liability,책임/부채
gun,총
life,삶/생명
hall,홀/복도
hang,걸다/매달다
line,선/줄
cake,케이크
hire,고용하다
historical,역사적인
host,주인/진행자
hotel,호텔
fellow,동료/녀석
many,많은
currency,통화/화폐
hurt,다치게 하다/아프다
ice,얼음
gene,유전자
identity,정체성/신원
curve,곡선/굽다
image,이미지/인상
imagine,상상하다
modify,수정하다/변경하다
month,달/월
income,소득/수입
indicate,나타내다/가리키다
industrial,산업의
guard,경비원/보호하다
insist,주장하다/고집하다
instrument,기구/악기
depression,우울증/불경기
off,떨어져/꺼진
investor,투자자
on,~위에/계속하여
entrance,입구/입장
order,주문/순서/명령
accommodation,숙박 시설
flood,홍수/물에 잠기게 하다
assistant,조수/보조
party,파티/일행/정당
label,라벨/상표
lady,숙녀
boss,상사/사장
past,과거/지나서
forecast,예측/예보
jacket,재킷
lawyer,변호사
plan,계획/계획하다
lesson,수업/교훈
bottle,병
license,면허/허가
chemical,화학적인/화학물질
delight,기쁨/즐겁게 하다
engine,엔진
loan,대출/빌려주다
locate,위치시키다/찾아내다
expectation,기대/예상
gentleman,신사
journalist,기자/언론인
lake,호수
room,방/공간
mass,질량/대중
master,주인/달인
meal,식사
landscape,풍경/경치
set,놓다/세트
miss,놓치다/그리워하다
mistake,실수/잘못
model,모델/모형
mirror,거울
mouse,쥐/마우스
moral,도덕적인/교훈
morning,아침
participant,참가자
passenger,승객
narrow,좁은/좁아지다
negative,부정적인
neither,어느 것도 아니다
net,그물/순~
nevertheless,그럼에도 불구하고
musician,음악가
noise,소음
none,아무도/아무것도
opponent,상대/반대자
